Country,Ladder_score,LGDP,Support,HLE,Freedom,Corruption,Continent
Afghanistan,1.364,0.649,0.000,61.96,0.000,0.135,Asia
Albania,5.411,1.371,0.610,77.86,0.826,0.057,Europe
Algeria,5.571,1.315,0.741,80.39,0.513,0.219,Africa
Argentina,6.397,1.504,0.882,74.42,0.809,0.083,South America
Armenia,5.494,1.391,0.733,81.74,0.772,0.158,Asia
Australia,6.974,1.767,0.895,82.13,0.842,0.285,Oceania
Austria,6.81,1.791,0.865,81.33,0.841,0.28,Europe
Azerbaijan,4.875,1.428,0.560,78.19,0.771,0.179,Asia
Bahrain,6.03,1.752,0.756,75.30,0.891,0.167,Asia
Bangladesh,3.851,1.116,0.155,74.80,0.904,0.132,Asia
Belgium,6.91,1.783,0.895,82.45,0.879,0.306,Europe
Belize,6.711,1.256,0.837,72.84,1.000,0.082,North America
Benin,4.357,0.855,0.124,67.90,0.667,0.238,Africa
Bolivia,5.868,1.173,0.737,67.57,0.803,0.052,South America
Bosnia and Herzegovina,6.136,1.405,0.840,75.51,0.736,0.009,Europe
Botswana,3.438,1.388,0.623,60.16,0.685,0.083,Africa
Brazil,6.494,1.391,0.826,71.51,0.815,0.127,South America
Bulgaria,5.554,1.573,0.938,71.01,0.695,0,Europe
Burkina Faso,4.383,0.724,0.450,66.10,0.659,0.218,Africa
Cambodia,4.341,1.049,0.660,71.54,0.971,0.078,Africa
Cameroon,4.887,0.944,0.536,66.28,0.650,0.06,Asia
Canada,6.803,1.749,0.895,81.86,0.799,0.323,North America
Chad,4.384,0.592,0.490,64.51,0.469,0.111,Africa
Chile,6.361,1.537,0.857,78.30,0.765,0.085,South America
China,5.921,1.445,0.710,80.60,0.750,0.154,Asia
Colombia,6.004,1.38,0.822,74.66,0.763,0.051,South America
Comoros,3.754,0.835,0.272,69.98,0.255,0.164,Africa
Congo,5.03,1.023,0.433,67.28,0.615,0.126,Africa
Costa Rica,7.274,1.492,0.870,77.39,0.931,0.118,North America
Côte d’Ivoire,5.102,1.038,0.413,63.46,0.649,0.162,Africa
Croatia,5.87,1.644,0.909,77.07,0.470,0.065,Europe
Cyprus,5.942,1.72,0.733,82.10,0.601,0.041,Europe
Czechia,6.775,1.692,0.933,76.75,0.900,0.084,Europe
Denmark,7.521,1.825,0.950,81.51,0.938,0.488,Europe
Dominican Republic,5.846,1.457,0.815,75.48,0.851,0.186,North America
DR Congo,3.469,0.544,0.505,65.57,0.589,0.061,Africa
Ecuador,5.965,1.299,0.717,78.04,0.699,0.066,South America
Egypt,3.817,1.347,0.584,71.31,0.583,0.103,Africa
El Salvador,6.492,1.222,0.667,73.83,0.938,0.264,North America
Estonia,6.417,1.65,0.933,76.27,0.886,0.378,Europe
Eswatini,3.774,1.183,0.626,58.52,0.420,0.13,Africa
Ethiopia,3.898,0.757,0.571,69.63,0.530,0.1,Africa
Finland,7.736,1.749,0.969,81.63,0.969,0.502,Europe
France,6.593,1.733,0.834,81.86,0.730,0.264,Europe
Gabon,5.12,1.386,0.665,68.78,0.639,0.086,Africa
Gambia,4.423,0.778,0.521,67.63,0.600,0.045,Africa
Georgia,5.4,1.444,0.693,71.57,0.829,0.172,Europe
Germany,6.753,1.785,0.883,80.21,0.843,0.351,Europe
Ghana,4.34,1.053,0.549,70.28,0.757,0.025,Africa
Greece,5.776,1.608,0.782,78.72,0.389,0.063,Europe
Guatemala,6.362,1.249,0.723,68.45,0.866,0.085,North America
Guinea,4.929,0.873,0.430,66.40,0.664,0.098,Africa
Honduras,5.964,1.036,0.645,70.22,0.847,0.079,North America
Hong Kong SAR of China,5.491,1.79,0.766,85.27,0.662,0.386,Asia
Hungary,5.915,1.638,0.947,74.66,0.669,0.057,Europe
Iceland,7.515,1.799,1.000,83.07,0.954,0.173,Europe
India,4.389,1.149,0.467,66.69,0.898,0.12,Asia
Indonesia,5.617,1.288,0.746,70.75,0.902,0.044,Asia
Iran,5.093,1.33,0.743,75.30,0.448,0.122,Asia
Iraq,4.976,1.261,0.693,74.72,0.494,0.069,Asia
Ireland,6.889,1.988,0.902,81.60,0.890,0.382,Europe
Israel,7.234,1.695,0.947,81.63,0.727,0.193,Asia
Italy,6.415,1.724,0.829,82.45,0.630,0.071,Europe
Jamaica,5.87,1.182,0.840,72.22,0.854,0.019,North America
Japan,6.147,1.678,0.842,84.48,0.733,0.2,Asia
Jordan,4.31,1.158,0.653,74.25,0.688,0.164,Asia
Kazakhstan,6.378,1.586,0.917,72.22,0.862,0.118,Asia
Kenya,4.51,0.994,0.569,70.57,0.638,0.073,Africa
Kosovo,6.659,1.281,0.790,83.74,0.877,0.087,Europe
Kuwait,6.629,1.691,0.805,79.92,0.917,0.167,Asia
Kyrgyzstan,5.858,1.032,0.932,76.42,0.964,0.053,Asia
Lao PDR,5.301,1.122,0.549,71.89,0.900,0.164,Asia
Latvia,6.207,1.619,0.930,72.19,0.775,0.082,Europe
Lebanon,3.188,1.223,0.535,70.34,0.274,0.041,Asia
Lesotho,3.757,0.737,0.615,57.40,0.595,0.072,Africa
Liberia,4.277,0.582,0.483,66.93,0.641,0.068,Africa
Libya,5.82,1.247,0.711,73.54,0.711,0.214,Africa
Lithuania,6.829,1.684,0.923,74.80,0.690,0.123,Europe
Luxembourg,7.122,2.028,0.847,82.80,0.915,0.397,Europe
Madagascar,4.157,0.588,0.510,67.43,0.287,0.118,Africa
Malawi,3.26,0.588,0.266,65.63,0.665,0.136,Africa
Malaysia,5.955,1.571,0.715,70.51,0.973,0.11,Asia
Mali,4.345,0.709,0.493,66.75,0.753,0.114,Africa
Malta,6.316,1.76,0.908,82.01,0.822,0.115,Europe
Mauritania,4.542,1.023,0.499,72.57,0.446,0.195,Africa
Mauritius,5.832,1.499,0.827,75.54,0.748,0.13,Africa
Mexico,6.979,1.435,0.817,73.57,0.863,0.118,North America
Mongolia,5.833,1.336,0.941,69.84,0.618,0.053,Asia
Montenegro,5.877,1.507,0.843,75.57,0.754,0.138,Europe
Morocco,4.622,1.139,0.345,74.60,0.735,0.095,Africa
Mozambique,5.19,0.559,0.615,61.05,0.799,0.173,Africa
Myanmar,4.321,0.975,0.622,70.51,0.559,0.163,Asia
Namibia,4.911,1.182,0.805,60.46,0.554,0.056,Africa
Nepal,5.311,0.944,0.658,71.01,0.750,0.099,Asia
Netherlands,7.306,1.822,0.906,82.21,0.845,0.344,Europe
New Zealand,6.952,1.698,0.930,81.36,0.846,0.429,Oceania
Nicaragua,6.33,1.084,0.799,76.39,0.896,0.271,North America
Niger,4.725,0.606,0.433,64.99,0.746,0.137,Africa
Nigeria,4.885,0.989,0.677,68.57,0.628,0.028,Africa
North Macedonia,5.503,1.458,0.835,73.39,0.626,0.007,Europe
Norway,7.262,1.902,0.930,82.77,0.945,0.425,Europe
Oman,6.197,1.603,0.767,72.10,0.914,,Asia
Pakistan,4.768,0.982,0.413,69.66,0.520,0.046,Asia
Panama,6.407,1.594,0.870,78.48,0.861,0.042,North America
Paraguay,6.172,1.329,0.878,65.96,0.905,0.063,South America
Peru,5.947,1.323,0.741,73.60,0.697,0.021,South America
Philippines,6.107,1.177,0.753,66.66,0.949,0.11,Asia
Poland,6.673,1.666,0.867,75.92,0.776,0.169,Europe
Portugal,6.013,1.646,0.848,81.57,0.863,0.034,Europe
Republic of Korea,6.038,1.709,0.738,83.95,0.666,0.139,Asia
Republic of Moldova,5.819,1.332,0.777,69.57,0.815,0.037,Europe
Romania,6.563,1.636,0.761,73.89,0.832,0.015,Europe
Russian Federation,5.945,1.63,0.842,71.22,0.690,0.125,Asia
Saudi Arabia,6.6,1.743,0.851,78.39,0.899,0.187,Asia
Senegal,4.856,0.907,0.531,70.13,0.753,0.09,Africa
Serbia,6.606,1.489,0.880,73.42,0.753,0.107,Europe
Sierra Leone,2.998,0.786,0.376,67.01,0.602,0.052,Africa
Singapore,6.565,2.022,0.851,84.89,0.841,0.522,Asia
Slovakia,6.221,1.629,0.958,73.48,0.692,0.07,Europe
Slovenia,6.792,1.692,0.934,80.98,0.944,0.113,Europe
Somalia,4.347,0.535,0.477,58.75,0.900,0.192,Africa
South Africa,5.213,1.283,0.796,61.57,0.664,0.043,Africa
Spain,6.466,1.69,0.916,83.68,0.721,0.18,Europe
Sri Lanka,3.891,1.271,0.711,74.07,0.684,0.025,Asia
State of Palestine,4.78,1.047,0.791,57.40,0.607,0.081,Asia
Sweden,7.345,1.783,0.923,83.54,0.935,0.467,Europe
Switzerland,6.935,1.87,0.882,83.36,0.873,0.468,Europe
Taiwan Province of China,6.669,1.73,0.860,81.42,0.747,0.187,Asia
Tajikistan,5.411,0.914,0.845,76.75,0.000,0.342,Asia
Tanzania,3.8,0.847,0.493,69.48,0.843,0.243,Africa
Thailand,6.222,1.426,0.843,76.01,0.911,0.039,Asia
Togo,4.315,0.757,0.400,68.51,0.566,0.153,Africa
Trinidad and Tobago,5.905,1.549,0.833,69.72,0.747,0.001,North America
Tunisia,4.552,1.257,0.665,70.89,0.375,0.05,Africa
Türkiye,5.262,1.582,0.785,75.80,0.240,0.104,Asia
Uganda,4.461,0.762,0.729,69.04,0.738,0.05,Africa
Ukraine,4.68,1.328,0.800,71.28,0.677,0.023,Europe
United Arab Emirates,6.759,1.812,0.703,76.77,0.917,0.235,Asia
United Kingdom,6.728,1.725,0.849,80.30,0.857,0.318,Europe
United States,6.724,1.839,0.877,75.16,0.633,0.161,North America
Uruguay,6.661,1.554,0.899,72.78,0.897,0.197,South America
Uzbekistan,6.193,1.179,0.878,76.63,0.960,0.208,Asia
Venezuela,5.683,0,0.811,72.54,0.690,0.117,South America
Viet Nam,6.352,1.278,0.833,75.95,0.994,0.174,Asia
Yemen,3.561,0.631,0.805,68.43,0.439,0.106,Asia
Zambia,3.912,0.848,0.551,64.25,0.857,0.107,Africa
Zimbabwe,3.396,0.827,0.522,62.63,0.587,0.131,Africa
,,,,,,,
,,,,,, , 
