Gender,Eye.colour,Hand.span.in.cm,UK.shoe.size,Height.in.cm,Are.you
Man,Brown,18,8.5,171,Right-hand dominant
Woman,Brown,14.8,7,175,Right-hand dominant
Man,Prefer not to say,22,7.5,172,Right-hand dominant
Woman,Green,18,5,165,Right-hand dominant
Man,Other,,,182,Right-hand dominant
Woman,Brown,15,5.5,158,Right-hand dominant
Woman,Brown,17,6,167,Right-hand dominant
Woman,Brown,15,6.5,168,Right-hand dominant
Woman,Blue,20,5,169,Right-hand dominant
Man,Green,23,8.5,180,Right-hand dominant
Man,Brown,21,10,170,Right-hand dominant
Man,Brown,17,9,175,Right-hand dominant
Woman,Blue,20,6,170,Right-hand dominant
Man,Brown,21,7,175,Right-hand dominant
Man,Brown,17,8,170,Right-hand dominant
Woman,Other,16.2,5.5,174,Right-hand dominant
Man,Brown,25,8,182,Right-hand dominant
Woman,Hazel,,4.5,167,Right-hand dominant
Man,Other,20,8.5,184,Right-hand dominant
Woman,Brown,18,6.5,176,Right-hand dominant
Woman,Blue,21,7.5,176,Right-hand dominant
Woman,Other,21,7.5,172,Right-hand dominant
Man,Brown,21,7,167,Right-hand dominant
Woman,Brown,15,7,165,Right-hand dominant
Woman,Green,16.5,5.5,173,Right-hand dominant
Woman,Brown,18,5,154.94,Right-hand dominant
Woman,Hazel,17,3,163,Right-hand dominant
Woman,Brown,16,4,161,Right-hand dominant
Woman,Blue,19,6,167,Right-hand dominant
Woman,Brown,14,5,162,Right-hand dominant
Woman,Brown,19,8,170,Left-hand dominant
Woman,Brown,9,6,163,Right-hand dominant
Woman,Brown,18,4.5,165,Right-hand dominant
Woman,Brown,1.1,6,172,Right-hand dominant
Man,Brown,5,8.5,179,Right-hand dominant
Man,Green,27,12,196,Right-hand dominant
Man,Brown,22.86,9,183,Right-hand dominant
Man,Brown,22.8,9.5,177,Right-hand dominant
Woman,Other,19,5,167,Right-hand dominant
Man,Other,24,8.5,180,Right-hand dominant
Woman,Brown,,6,166,Right-hand dominant
Man,Brown,20,40,185,Right-hand dominant
Woman,Brown,15,,164,Right-hand dominant
Man,Brown,20,9,179,Right-hand dominant
Man,Other,,,175,Right-hand dominant
Woman,Brown,20,7,170,Right-hand dominant
Man,Brown,23,8.5,177,Right-hand dominant
Man,Brown,23,10,183,Right-hand dominant
Man,Brown,,,165,Right-hand dominant
Woman,Brown,17,5,167,Right-hand dominant
Woman,Brown,19,5,160,Right-hand dominant
Man,Brown,20,8.5,183,Left-hand dominant
Woman,Brown,22,6,170,Right-hand dominant
Woman,Brown,14,6,168,Right-hand dominant
Woman,Blue,21,6,1.61,Right-hand dominant
Woman,Blue,25,7,172,Right-hand dominant
Woman,Brown,22,5,166,Right-hand dominant
Man,Brown,25,8,172,Right-hand dominant
Man,Brown,22,8,179,Right-hand dominant
Man,Brown,18,8,180,Right-hand dominant
Woman,Brown,16,5,161,Right-hand dominant
Man,Brown,15,8,170,Left-hand dominant
Man,Prefer not to say,17,42,177,Right-hand dominant
Woman,Brown,,6.5,168,Right-hand dominant
Woman,Brown,17,4,160,Left-hand dominant
Woman,Brown,22,5,167,Right-hand dominant
Woman,Brown,16,6,165,Right-hand dominant
Woman,Brown,18,5,160,Right-hand dominant
Man,Brown,20,9,179.5,Right-hand dominant
Woman,Brown,21,5,169,Right-hand dominant
Woman,Brown,19,4,171,Right-hand dominant
Woman,Brown,16,3.5,154,Right-hand dominant
Woman,Blue,,6.5,165,Right-hand dominant
Man,Brown,20,,181,Right-hand dominant
Woman,Brown,15,7.5,175,Left-hand dominant
Man,Brown,23,8,173,Right-hand dominant
Woman,Brown,20,7.5,183,Right-hand dominant
Woman,Brown,18,3,160,Right-hand dominant
Woman,Hazel,20,8,170,Right-hand dominant
Woman,Blue,20,7,175,Right-hand dominant
Man,Prefer not to say,,10.5,182,Right-hand dominant
Woman,Brown,18,,172,Right-hand dominant
Man,Brown,21,9,182.245,Right-hand dominant
Woman,Blue,20,9,176,Right-hand dominant
Woman,Brown,15,3,152,Right-hand dominant
Woman,Blue,,6,170,Right-hand dominant
Woman,Brown,19,5,168,Right-hand dominant
Man,Brown,18,7,165,Right-hand dominant
Woman,Brown,19,6,173,Right-hand dominant
Man,Brown,23,11,176,Right-hand dominant
Man,Brown,13,9,178,Right-hand dominant
Man,Blue,25,42.5,174,Right-hand dominant
Man,Brown,23,9,183,Right-hand dominant
Man,Blue,20,10.5,184,Right-hand dominant
Woman,Brown,14,6,170,Right-hand dominant
Man,Prefer not to say,18.2,11,182,Right-hand dominant
Man,Brown,17,8,170,Right-hand dominant
Woman,Brown,18.4,3,1.54,Right-hand dominant
Woman,Hazel,20,,166.7,Right-hand dominant
Woman,Brown,17,3,153,Right-hand dominant
Woman,Brown,19,7,174,Right-hand dominant
Man,Green,21,10,169,Left-hand dominant
Woman,Blue,17,8,175,Right-hand dominant
